epoch,step,reward_mean,reward_std,kl,loss
0.125,5,0.5516,0.1997,0.0001208,-0.02268
0.25,10,0.6156,0.2338,0.0002341,-0.02663
0.375,15,0.5766,0.2612,0.0007992,-0.02598
0.5,20,0.6203,0.2172,0.0005228,-0.0491
0.625,25,0.625,0.185,0.001341,-0.00292
0.75,30,0.6062,0.2055,0.0048,-0.04326
0.875,35,0.7094,0.2359,0.01222,-0.007169
1.0,40,0.5828,0.208,0.01388,-0.01701
1.125,45,0.6937,0.1954,0.008108,-0.02902
1.25,50,0.9516,0.1684,0.00837,-0.04158
1.375,55,0.8031,0.1788,0.003329,-0.01922
1.5,60,0.8938,0.1534,0.009444,-0.03984
1.625,65,0.8016,0.1335,0.0134,0.006413
1.75,70,0.7688,0.1519,0.00876,-0.03485
1.875,75,0.7562,0.2263,0.00892,-0.02229
2.0,80,0.7922,0.2263,0.01923,-0.02122
2.125,85,0.7344,0.1417,0.01109,-0.003924
2.25,90,0.9844,0.05062,0.002886,0.004692
2.375,95,0.9234,0.1484,0.01248,-0.01403
2.5,100,0.7438,0.2633,0.01257,-0.007758
2.625,105,0.7391,0.1923,0.005987,-0.004444
2.75,110,0.9344,0.1141,0.01954,-0.008466
2.875,115,0.9359,0.175,0.005545,-0.02266
3.0,120,0.8328,0.158,0.01021,-0.02723
